,acc
1,0.8333333333333334
2,0.8888888888888888
3,0.9166666666666666
4,0.9444444444444444
5,0.9166666666666666
6,0.875
7,0.875
8,0.8888888888888888
9,0.8611111111111112
10,0.8472222222222222
11,0.8333333333333334
12,0.8333333333333334
13,0.8333333333333334
14,0.8194444444444444
15,0.7916666666666666
