,acc
1,0.8194444444444444
2,0.8333333333333334
3,0.8611111111111112
4,0.8611111111111112
5,0.875
6,0.9027777777777778
7,0.9166666666666666
8,0.9166666666666666
9,0.8888888888888888
10,0.8611111111111112
11,0.8472222222222222
12,0.8472222222222222
13,0.8472222222222222
14,0.8611111111111112
15,0.8472222222222222
